Frame #,# Obj,X,Y,Z,Doppler,Intensity
35,30,-1.8789,6.8145,2.5508,-0.25686,55
35,30,0.099609,0.50195,0.13086,0,17
35,30,-0.25,0.41406,-0.30469,0,17
35,30,-0.42383,0.43164,0.11328,0,21
35,30,-0.28906,0.58789,-0.068359,0,16
35,30,0.14844,0.36328,0.35156,0.25686,37
35,30,-0.26758,0.4082,-0.29883,0.25686,31
35,30,-0.23047,0.55078,-0.14648,0.25686,37
35,30,-0.45313,0.45703,0.14453,0.25686,28
35,30,0.13281,0.375,0.3457,0.51373,15
35,30,-0.26758,0.44141,-0.24609,0.51373,22
35,30,-0.25,0.54883,-0.125,0.51373,26
35,30,0.47852,0.22266,0.011719,-2.0549,7
35,30,0.26367,0.37305,-0.26367,-1.798,8
35,30,-0.24805,0,0.4668,-1.5412,9
36,64,0.28516,0,-0.38867,0,72
36,64,0.31641,0,0.42578,0,92
36,64,0.34766,0,0.44727,0,58
36,64,0.39648,0,0.47461,0,30
36,64,-0.33984,0.45898,0,0,29
36,64,1.7305,2.916,1.459,0,104
36,64,-2.1016,6.4883,3.0508,0,119
36,64,-2.1133,6.498,3.127,0,127
36,64,-3.0898,6.5234,2.3906,0,72
36,64,0.27148,0,-0.37305,0.25686,123
36,64,0.31641,0,-0.43164,0.25686,167
36,64,0.34766,0,0.44727,0.25686,125
36,64,0.42773,0,0.50391,0.25686,115
36,64,-0.33984,0.45703,0.041016,0.25686,116
36,64,-0.36523,0.49414,0.033203,0.25686,72
36,64,1.7109,2.8379,1.5254,0.25686,254
36,64,1.7305,2.8633,1.5605,0.25686,285
36,64,1.5254,3.4082,2.4004,0.25686,214
36,64,-2.334,6.1621,3.5195,0.25686,299
36,64,-2.3477,6.1055,3.6992,0.25686,302
36,64,-2.834,6.6035,2.3438,0.25686,116
36,64,-3.0898,6.5078,2.4336,0.25686,198
36,64,-3.3457,6.2676,2.8301,0.25686,150
36,64,0.054688,0.43359,0.044922,0.51373,112
36,64,0.36328,0,0.45703,0.51373,113
36,64,0.42773,0,0.51953,0.51373,156
36,64,0.46484,0,-0.54688,0.51373,160
36,64,-0.38477,0.47461,0.078125,0.51373,96
36,64,0.42578,1.2246,0.41797,0.51373,72
36,64,0.43945,1.2676,0.42383,0.51373,89
36,64,0.45313,1.291,0.48047,0.51373,59
36,64,-2.334,6.043,3.7227,0.51373,100
36,64,-2.3477,5.8633,4.0723,0.51373,97
36,64,-3.0898,6.3145,2.8984,0.51373,65
36,64,0.42773,0,-0.52539,0.77059,71
36,64,0.46484,0,-0.5,0.77059,75
36,64,0.5,0,-0.45703,0.77059,48
36,64,1.8242,3.0527,0.8125,-0.51373,140
36,64,1.8457,3.0625,0.91797,-0.51373,156
36,64,1.5117,3.666,1.8945,-0.51373,113
36,64,1.5254,3.7617,1.7949,-0.51373,126
36,64,1.125,4.9434,0.86328,-0.51373,93
36,64,-2.1016,6.8301,2.1797,-0.51373,177
36,64,-2.1133,6.832,2.3125,-0.51373,179
36,64,-2.5977,6.9707,1.3457,-0.51373,68
36,64,-2.8516,6.9375,1.248,-0.51373,106
36,64,1.8242,2.9922,1.0137,-0.25686,419
36,64,1.8457,2.9922,1.125,-0.25686,452
36,64,1.3594,3.9277,1.2891,-0.25686,264
36,64,1.5117,3.6934,1.8418,-0.25686,325
36,64,1.5254,3.6914,1.9375,-0.25686,366
36,64,1.541,3.7617,1.8906,-0.25686,280
36,64,1.125,4.8633,1.2383,-0.25686,266
36,64,1.1543,4.9766,1.3086,-0.25686,210
36,64,0.74219,5.3633,2.4297,-0.25686,221
36,64,0.93359,5.5,2.1445,-0.25686,176
36,64,-2.0898,6.6152,2.6543,-0.25686,148
36,64,-2.334,6.6035,2.6016,-0.25686,500
36,64,-2.3477,6.6133,2.6895,-0.25686,512
36,64,-2.834,6.8496,1.4824,-0.25686,205
36,64,-2.8516,6.8398,1.7012,-0.25686,315
36,64,-3.1074,6.6953,1.998,-0.25686,235
36,64,-2.1641,6.7773,2.9238,-0.25686,272
36,64,0.048828,0.39258,0.0078125,0,57
37,64,0.048828,0.51953,0.074219,0,18
37,64,-0.28516,0.4668,0.16211,0,26
37,64,-0.30859,0.52148,0.11133,0,37
37,64,-0.34961,0.54883,0.099609,0,28
37,64,-0.80664,1.9922,0.11719,0,71
37,64,-1.8789,1.6563,-0.044922,0,121
37,64,1.5117,3.3223,2.4492,0,763
37,64,1.3867,3.4844,2.375,0,896
37,64,1.4004,3.6387,2.2109,0,516
37,64,0.91992,5.1836,2.6387,0,509
37,64,0.74219,5.1641,2.8262,0,571
37,64,0.74805,4.834,3.4375,0,236
37,64,0.57227,6.0195,0.87109,0,170
37,64,0.57617,6.0332,1.0566,0,257
37,64,-2.0898,6.3672,3.2031,0,429
37,64,-2.1016,6.248,3.5156,0,858
37,64,-2.1133,5.7246,4.3867,0,523
37,64,-2.834,6.7637,-1.832,0,143
37,64,-2.1504,6.5352,3.3379,0,420
37,64,-2.1641,6.5801,3.3438,0,421
37,64,0.24805,7.0039,3.7617,0,820
37,64,0,7.0527,3.7734,0,1057
37,64,0,7.0586,3.8574,0,667
37,64,-0.36328,0.29883,0.11133,0.25686,95
37,64,0.048828,0.50195,0.15625,0.25686,66
37,64,-0.28516,0.45508,0.19531,0.25686,73
37,64,-0.30859,0.50586,0.16992,0.25686,99
37,64,-0.34961,0.53906,0.14844,0.25686,80
37,64,-1.8789,1.6563,0.070313,0.25686,134
37,64,1.373,3.168,2.7188,0.25686,288
37,64,1.3867,3.2305,2.709,0.25686,334
37,64,1.4004,3.3594,2.6172,0.25686,195
37,64,0.73633,4.9727,3.0684,0.25686,151
37,64,0.74219,4.9082,3.25,0.25686,178
37,64,-2.3203,5.9004,3.8691,0.25686,170
37,64,-2.334,5.8633,4,0.25686,346
37,64,-2.1133,5.3145,4.875,0.25686,214
37,64,-2.3906,6.2402,3.7207,0.25686,159
37,64,-2.4043,6.3516,3.6113,0.25686,174
37,64,0.24805,6.627,4.3945,0.25686,241
37,64,0,6.752,4.2891,0.25686,319
37,64,0.048828,0.49219,0.17969,0.51373,25
37,64,-0.28516,0.43359,0.23828,0.51373,26
