Frame, Obj,X,Y,Z,Doppler,Intensity
141,4,-0.33008,0.4082,-0.046875,1.5412,11
141,4,-0.37891,0.30469,-0.20313,1.2843,12
141,4,-0.13281,0.37891,-0.3418,1.5412,9
142,2,-0.14844,0.4043,-0.30273,-2.0549,12
142,2,0.16406,0.19531,0.46094,-2.0549,10
144,4,-0.63477,1.584,0.70508,-0.25686,31
144,4,-0.65039,1.6406,0.67578,-0.25686,35
144,4,0.11523,1.3965,-1.2012,-0.25686,23
144,4,0.058594,1.4668,-1.1914,-0.25686,20
167,2,0.18164,0.17969,0.46094,1.5412,11
167,2,-0.42773,0.1543,0.26563,1.5412,10
171,2,-0.3457,0.39258,-0.066406,-1.5412,11
171,2,0.048828,0.29102,0.4375,-1.5412,10
176,2,0.033203,0.25391,-0.46094,1.798,8
176,2,0.19727,0.4707,-0.13281,1.798,8
183,2,0.3125,0.32617,0.27148,0.77059,12
183,2,-0.36328,0.32813,0.19727,0.77059,9
195,4,0.51172,0,0.5,1.2843,14
195,4,0.36328,0,0.41797,-0.77059,14
195,4,0.048828,0.51563,0.099609,1.2843,8
195,4,-0.47852,0.19922,0.099609,-0.77059,13
201,2,0.46094,0.21875,-0.13281,-1.2843,9
201,2,-0.41211,0,0.4082,-1.2843,7
203,10,0.51172,0.033203,-0.12695,0,24
203,10,0.53516,0,-0.21484,0,12
203,10,0.49414,0.14648,-0.11133,-0.51373,19
203,10,0.51172,0.076172,-0.10547,-0.25686,42
203,10,0.55273,0.11328,-0.085938,-0.25686,20
203,10,-0.082031,0.4707,0.22266,0,20
203,10,-0.089844,0.51172,0.24023,0,12
203,10,-0.082031,0.51367,0.083984,-0.51373,18
203,10,-0.082031,0.48633,0.18555,-0.25686,30
203,10,-0.089844,0.51758,0.22656,-0.25686,16
204,4,-0.3457,0.39648,0.021484,1.5412,19
204,4,-0.33008,0,0.46289,-1.0275,17
204,4,0.26367,0.11328,0.44141,1.5412,11
204,4,0.033203,0.51563,-0.10938,-1.0275,11
205,2,-0.33984,0.10156,-0.44922,1.798,20
